Strain_code	Ochiai_measure
Prevotella_40	0.4734320765
Prevotella_17	0.4654746681
Prevotella_26	0.4654746681
Enterobacter_4	0.4579054699
Alloprevotella_0	0.4576043153
Prevotella_14	0.4370142244
Mobiluncus_3	0.4341215711
Leptolyngbya_0	0.4290971758
Prevotella_15	0.4230769231
Pseudoalteromonas_0	0.4191368221
Prevotella_4	0.4076871242
Bacteroides_6	0.4005963724
Haemophilus_4	0.4004906974
Eubacterium_8	0.3981665297
Candidatus_Sulcia_0	0.3981665297
Porphyromonas_5	0.3977961265
Candidatus_Riesia_0	0.3977961265
Prevotella_13	0.3938631807
Lactobacillus_65	0.3938631807
Porphyromonas_3	0.3922322703
Porphyromonas_6	0.3922322703
unclassified_Bacteria_0	0.388796593
Eubacterium_2	0.3868955281
Lactobacillus_16	0.3846153846
Prevotella_22	0.3846153846
Porphyromonas_1	0.3807498053
Candidatus_Carsonella_0	0.380058475
Candidatus_Sulcia_2	0.3759047058
Prevotella_11	0.3706246583
Mycoplasma_0	0.3699700367
Bacteroides_27	0.3646464493
Lactobacillus_61	0.3602883461
Streptococcus_0	0.3595462478
Prevotella_0	0.3595462478
Prevotella_23	0.358057437
Eubacterium_31	0.358057437
Prevotella_3	0.358057437
Lactobacillus_29	0.3530090432
unclassified_Bacteria_1	0.3530090432
Lactobacillus_2	0.3522349768
Prevotella_29	0.3522349768
Campylobacter_6	0.3508232077
Peptoniphilus_7	0.3508232077
Streptococcus_59	0.3499566196
Alistipes_0	0.3466876226
Capnocytophaga_0	0.3461538462
Paenibacillus_1	0.3461538462
Fusobacterium_23	0.3461538462
Lactobacillus_54	0.3461538462
Clostridium_15	0.342368394
Enterococcus_41	0.342368394
Enterococcus_38	0.342368394
Lactobacillus_26	0.341394371
Streptococcus_55	0.336336397
Streptococcus_3	0.336336397
Mobiluncus_4	0.334496804
Enterococcus_27	0.334496804
Prevotella_9	0.3335621925
Eubacterium_28	0.3329560459
Campylobacter_5	0.332875143
Streptococcus_61	0.3314967721
Lactobacillus_5	0.327144328
Lactobacillus_39	0.327144328
Enterococcus_14	0.327144328
Oenococcus_0	0.327144328
Enterococcus_45	0.327144328
Lactobacillus_55	0.327144328
Lactobacillus_58	0.327144328
Eubacterium_9	0.3268602252
Streptococcus_53	0.3268602252
Streptococcus_62	0.3268602252
Streptococcus_65	0.3268602252
Eubacterium_17	0.3268602252
Slackia_1	0.3222516933
Mycoplasma_4	0.3222516933
Lactobacillus_10	0.3202563076
Lactobacillus_7	0.3202563076
Beggiatoa_0	0.3202563076
Capnocytophaga_1	0.3202563076
Selenomonas_1	0.3170114792
Prevotella_31	0.3170114792
Clostridium_6	0.3137858162
Lactobacillus_27	0.3137858162
Prevotella_28	0.3137858162
Prevotella_27	0.3137858162
Dichelobacter_0	0.3137858162
Lactobacillus_56	0.3137858162
Peptoniphilus_3	0.3137858162
Gardnerella_3	0.3137858162
Paenibacillus_2	0.3120188604
Prevotella_1	0.3120188604
Neisseria_1	0.3100868365
Enterococcus_0	0.3100868365
Lactobacillus_32	0.3076923077
Lactobacillus_31	0.3076923077
Atopobium_1	0.3076923077
Lactobacillus_53	0.3076923077
Lactobacillus_72	0.3076923077
Mycoplasma_7	0.3072549339
Centipeda_0	0.3062819459
Lactobacillus_20	0.3019405424
Streptobacillus_0	0.3019405424
Prevotella_10	0.3019405424
Mobiluncus_0	0.3019405424
Prevotella_20	0.3019405424
Enterococcus_8	0.2995723448
Enterococcus_5	0.2995723448
Carnobacterium_0	0.2995723448
Enterococcus_26	0.2995723448
Fusobacterium_7	0.2964997267
Fusobacterium_9	0.2964997267
Treponema_2	0.2964997267
Streptomyces_2	0.2964997267
Finegoldia_2	0.2964997267
Prevotella_7	0.2964997267
Fusobacterium_11	0.2964997267
Lactobacillus_48	0.2926847035
Enterococcus_3	0.2926847035
Enterococcus_6	0.2926847035
Alkaliphilus_1	0.2926847035
Lactobacillus_23	0.2926847035
Capnocytophaga_2	0.2926847035
Capnocytophaga_3	0.2926847035
Eubacterium_4	0.2926847035
Enterococcus_12	0.2926847035
Prevotella_42	0.2913428163
Acholeplasma_0	0.2913428163
Thermosediminibacter_0	0.2913428163
Holdemania_0	0.2864459496
Mesoplasma_0	0.2864459496
Lactobacillus_30	0.2864459496
Ureaplasma_3	0.2864459496
Haemophilus_2	0.2863281433
Enterococcus_11	0.2863281433
Enterococcus_29	0.286251287
Enterococcus_28	0.286251287
Lactobacillus_15	0.286251287
Streptococcus_27	0.286251287
Pediococcus_2	0.286251287
Fusobacterium_16	0.286251287
Mycoplasma_6	0.286251287
Ureaplasma_1	0.2817879815
Pediococcus_1	0.2802242692
Streptococcus_35	0.2802242692
Ureaplasma_0	0.2802242692
Ureaplasma_2	0.2802242692
Parascardovia_0	0.2802242692
Streptococcus_68	0.2802242692
Prevotella_35	0.2802242692
Mobiluncus_2	0.2802242692
Prevotella_21	0.2802242692
Lactobacillus_77	0.2802242692
Lactobacillus_73	0.2802242692
Enterococcus_7	0.2790781528
Eubacterium_38	0.2773500981
Croceibacter_0	0.2773500981
Candidatus_Sulcia_1	0.2756537513
Clostridium_0	0.2745625892
Streptococcus_45	0.2745625892
Streptococcus_57	0.2745625892
Streptococcus_70	0.2745625892
Catonella_0	0.2745625892
Lactobacillus_50	0.2745625892
Streptococcus_1	0.2745625892
Streptococcus_9	0.2745625892
Bacteroides_36	0.2745625892
Eubacterium_43	0.2731154968
Eubacterium_3	0.2731154968
Mycoplasma_1	0.2731154968
Mycoplasma_9	0.2731154968
Stenotrophomonas_0	0.2719641466
Lactobacillus_18	0.2699527624
Lactobacillus_9	0.2699527624
Gardnerella_2	0.2699527624
Streptococcus_39	0.2692307692
Eubacterium_42	0.2692307692
Prevotella_38	0.2692307692
Gardnerella_1	0.2692307692
Gardnerella_0	0.2692307692
Borreliella_0	0.2651974177
Fusobacterium_4	0.2641979746
Megasphaera_0	0.2641979746
Streptococcus_46	0.2641979746
Ruminiclostridium_7	0.2641979746
Finegoldia_0	0.2641979746
Streptococcus_8	0.2641979746
Ruminiclostridium_2	0.2631174058
Helicobacter_6	0.2631174058
Helicobacter_10	0.2631174058
Campylobacter_7	0.2631174058
Prevotella_39	0.2631174058
Lactococcus_2	0.2631174058
Lactobacillus_67	0.2631174058
Mageeibacillus_0	0.2620712092
Enterococcus_20	0.2614881802
Mycoplasma_8	0.2614881802
Lactobacillus_0	0.2594372608
Anaerococcus_3	0.2594372608
Atopobium_2	0.2594372608
Eubacterium_12	0.2594372608
Treponema_1	0.2594372608
Arcanobacterium_0	0.2594372608
Helicobacter_3	0.2579303521
Lactobacillus_36	0.2567762955
Leuconostoc_4	0.2567762955
Actinomyces_9	0.2567762955
Eubacterium_33	0.2567762955
Aeromicrobium_0	0.2567762955
Lactobacillus_64	0.2567762955
Kallipyga_0	0.2549249643
Mycoplasma_2	0.2549249643
Lactobacillus_14	0.250872603
Helicobacter_7	0.250872603
Helicobacter_4	0.250872603
Helicobacter_5	0.250872603
Lactobacillus_43	0.250872603
Actinomyces_12	0.250872603
Treponema_0	0.2506402059
Oribacterium_0	0.2465644838
Mycoplasma_5	0.2465644838
Haemophilus_7	0.245358246
Clostridium_45	0.245358246
Victivallis_0	0.245358246
Dethiosulfovibrio_0	0.245358246
Porphyromonas_2	0.245358246
Leuconostoc_1	0.245358246
Clostridium_23	0.245358246
Enterococcus_10	0.245358246
Clostridium_37	0.245358246
Prevotella_25	0.245358246
Lactobacillus_76	0.2451451689
Candidatus_Phytoplasma_1	0.2426813358
Mycoplasma_10	0.2426813358
Eubacterium_27	0.2426813358
Dehalococcoides_0	0.2401922307
Tannerella_0	0.2401922307
Clostridium_7	0.2401922307
Clostridium_11	0.2401922307
Clostridium_16	0.2401922307
Erysipelothrix_0	0.2401922307
Eubacterium_6	0.2389760597
Lactobacillus_38	0.2378257471
Corynebacterium_5	0.2378257471
Eubacterium_44	0.2378257471
Lactobacillus_41	0.2378257471
Porphyromonas_4	0.2353393622
Peptostreptococcus_0	0.2353393622
Actinomyces_11	0.2353393622
Subdoligranulum_1	0.2353393622
Helicobacter_12	0.2311250818
Enterococcus_15	0.2311250818
Listeria_5	0.2311250818
Enterococcus_25	0.2311250818
Enterococcus_32	0.2311250818
Enterococcus_33	0.2311250818
Enterococcus_40	0.2311250818
Lactobacillus_34	0.2307692308
Campylobacter_9	0.2307692308
Prevotella_32	0.2307692308
Streptococcus_4	0.2307692308
Peptoniphilus_5	0.2264554068
Atopobium_0	0.2264554068
Gemella_2	0.2264554068
Gemella_1	0.2264554068
Candidatus_Azobacteroides_0	0.2264554068
Streptococcus_60	0.2264554068
Helicobacter_2	0.2249606353
Helicobacter_1	0.2249606353
Enterococcus_4	0.2249606353
Streptococcus_29	0.2249606353
Micrococcus_1	0.2249606353
Fusobacterium_17	0.2249606353
Idiomarina_0	0.2249606353
Enterococcus_21	0.2249606353
Desulfovibrio_8	0.2249606353
Bacteroides_34	0.2249606353
Actinomyces_10	0.2249606353
Cutibacterium_3	0.2249606353
Cutibacterium_0	0.2249606353
Fusobacterium_14	0.2249606353
Finegoldia_1	0.222374795
Fusobacterium_10	0.222374795
Bacteroides_14	0.2192645048
Porphyromonas_0	0.2192645048
Clostridium_4	0.2192645048
Helicobacter_11	0.2192645048
Clostridium_28	0.2192645048
Actinomyces_7	0.2192645048
Clostridioides_2	0.2192645048
Clostridioides_7	0.2192645048
Desulfovibrio_11	0.2192645048
Desulfovibrio_3	0.2192645048
Desulfovibrio_1	0.2192645048
Psychromonas_0	0.2192645048
Cutibacterium_4	0.2192645048
Flavobacterium_1	0.2185071122
Mycoplasma_3	0.2185071122
Jonquetella_0	0.2148344622
Lactobacillus_19	0.2139802463
Heliobacterium_0	0.2139802463
Leptotrichia_2	0.2139802463
Thermosinus_0	0.2139802463
Janibacter_0	0.2139802463
Clostridium_26	0.2139802463
Clostridium_33	0.2139802463
Clostridium_34	0.2139802463
Actinomyces_2	0.2139802463
Clostridioides_1	0.2139802463
Lactobacillus_40	0.2139802463
Lactobacillus_60	0.2139802463
Pseudarthrobacter_0	0.2096569673
Dokdonia_0	0.2096569673
Xanthomonas_0	0.2096569673
Lactobacillus_78	0.2096569673
Chromobacterium_0	0.2096569673
Paenarthrobacter_0	0.2096569673
Bradyrhizobium_2	0.2096569673
Lactobacillus_8	0.2090605025
Caldicellulosiruptor_0	0.2090605025
Lactococcus_4	0.2090605025
Cutibacterium_6	0.2090605025
Candidatus_Phytoplasma_0	0.2080125736
Chlorobaculum_0	0.2080125736
Eubacterium_16	0.2048366226
Turicibacter_0	0.204465205
Bacteroides_52	0.204465205
Enterococcus_42	0.204465205
Actinomyces_0	0.204465205
Rothia_1	0.204465205
Lactobacillus_69	0.204465205
Fusobacterium_2	0.2025478734
Fusobacterium_8	0.2025478734
Lactobacillus_1	0.2025478734
Neisseria_14	0.2025478734
Pseudomonas_18	0.2025478734
Pseudomonas_14	0.2025478734
Rhodopseudomonas_1	0.2025478734
Pseudomonas_28	0.2025478734
Fusobacterium_12	0.2025478734
Stenotrophomonas_2	0.2025478734
Fusobacterium_21	0.2025478734
Staphylococcus_16	0.2025478734
Fusobacterium_13	0.2025478734
Bradyrhizobium_0	0.2025478734
Bulleidia_0	0.2001601923
Eubacterium_37	0.2001601923
Rothia_0	0.2001601923
Fusobacterium_19	0.2001601923
Sutterella_2	0.2001601923
Fusobacterium_6	0.1961161351
Fusobacterium_3	0.1961161351
Desulfitobacterium_1	0.1961161351
Streptococcus_22	0.1961161351
Streptococcus_49	0.1961161351
Streptococcus_63	0.1961161351
Fusobacterium_15	0.1961161351
Listeria_7	0.1961161351
Granulicatella_1	0.1961161351
Granulicatella_0	0.1961161351
Peptoniphilus_2	0.1961161351
Nocardioides_0	0.1961161351
Filifactor_0	0.1961161351
Erwinia_0	0.1961161351
Streptococcus_24	0.1923076923
Slackia_0	0.1923076923
Gemella_3	0.1923076923
Prevotella_30	0.1923076923
Lactobacillus_47	0.1923076923
Gordonibacter_1	0.1923076923
Staphylococcus_24	0.1902605977
Neisseria_13	0.1902605977
Neisseria_18	0.1902605977
Streptococcus_18	0.1902605977
Sanguibacter_0	0.1902605977
Pseudogulbenkiania_0	0.1902605977
Pseudomonas_24	0.1902605977
Corynebacterium_9	0.1902605977
Listeria_8	0.1902605977
Listeria_4	0.1902605977
Symbiobacterium_0	0.1902605977
Fusobacterium_18	0.1902605977
Anaerococcus_4	0.188712839
Solobacterium_0	0.188712839
Megasphaera_2	0.188712839
Atopobium_3	0.1853123292
Solobacterium_1	0.1853123292
Pyramidobacter_0	0.1853123292
Eubacterium_36	0.1853123292
Tannerella_1	0.1849000654
Staphylococcus_47	0.1849000654
Enterococcus_2	0.1849000654
Staphylococcus_53	0.1849000654
Neisseria_16	0.1849000654
Clostridium_3	0.1849000654
Parvimonas_0	0.1849000654
Streptococcus_30	0.1849000654
Acinetobacter_0	0.1849000654
Basfia_0	0.1849000654
Eubacterium_1	0.1849000654
Prevotella_12	0.1849000654
Bifidobacterium_34	0.1849000654
Campylobacter_8	0.1849000654
Prevotella_33	0.1849000654
Lactococcus_0	0.1849000654
Sulfurihydrogenibium_0	0.1820892602
Neisseria_4	0.1799685083
Streptococcus_23	0.1799685083
Bacteroides_59	0.1799685083
Streptococcus_47	0.1799685083
Lactococcus_1	0.1799685083
Aggregatibacter_1	0.1799685083
Enterococcus_36	0.1799685083
Simonsiella_0	0.1799685083
Desulfovibrio_2	0.1799685083
Kribbella_0	0.1799685083
Burkholderia_1	0.1773937188
Burkholderia_2	0.1773937188
Escherichia_46	0.1773937188
Burkholderia_3	0.1773937188
Burkholderia_4	0.1773937188
Escherichia_32	0.1773937188
Escherichia_36	0.1773937188
Flavobacterium_0	0.1773937188
Escherichia_20	0.1773937188
Klebsiella_5	0.1773937188
Klebsiella_2	0.1773937188
Tropheryma_0	0.1761174884
Neisseria_7	0.1754116039
Zymomonas_0	0.1754116039
Neisseria_15	0.1754116039
Rhodothermus_0	0.1754116039
Clostridium_18	0.1754116039
Aggregatibacter_2	0.1754116039
Coprobacillus_3	0.1754116039
Clostridioides_4	0.1754116039
Clostridioides_5	0.1754116039
Clostridioides_8	0.1754116039
Clostridioides_9	0.1754116039
Desulfomicrobium_0	0.1754116039
Lactobacillus_44	0.1754116039
Holdemanella_0	0.1754116039
Streptococcus_50	0.171184197
Enterococcus_43	0.171184197
Collinsella_0	0.171184197
Streptococcus_40	0.171184197
Streptococcus_41	0.171184197
Prevotella_16	0.171184197
Kangiella_0	0.171184197
Gemella_0	0.171184197
Clostridium_25	0.171184197
Eubacterium_18	0.171184197
Butyricimonas_1	0.171184197
Campylobacter_13	0.171184197
Weissella_2	0.171184197
Yersinia_14	0.1698415551
Yersinia_11	0.1698415551
Yersinia_10	0.1698415551
Shigella_0	0.1698415551
Shigella_1	0.1698415551
Shigella_2	0.1698415551
Escherichia_8	0.1698415551
Escherichia_3	0.1698415551
Escherichia_7	0.1698415551
Escherichia_5	0.1698415551
Pseudomonas_12	0.1698415551
Tsukamurella_0	0.1698415551
Azotobacter_0	0.1698415551
Serratia_3	0.1698415551
Citrobacter_6	0.1698415551
Acidovorax_3	0.1698415551
Arthrobacter_0	0.1698415551
Shigella_3	0.1698415551
Bacteroides_12	0.1698415551
Escherichia_47	0.1698415551
Escherichia_45	0.1698415551
Escherichia_44	0.1698415551
Escherichia_49	0.1698415551
Escherichia_48	0.1698415551
Fusobacterium_22	0.1698415551
Pseudomonas_4	0.1698415551
Escherichia_31	0.1698415551
Escherichia_34	0.1698415551
Escherichia_38	0.1698415551
Yersinia_3	0.1698415551
Yersinia_2	0.1698415551
Yersinia_8	0.1698415551
Escherichia_23	0.1698415551
Escherichia_29	0.1698415551
Escherichia_15	0.1698415551
Escherichia_16	0.1698415551
Escherichia_10	0.1698415551
Bacillus_33	0.1698415551
Anaerococcus_0	0.167248402
Cryptobacterium_0	0.167248402
Collinsella_1	0.167248402
Rhizobium_0	0.167248402
Shuttleworthia_0	0.167248402
Acetomicrobium_0	0.167248402
Marvinbryantia_0	0.167248402
Lactobacillus_6	0.163572164
Leuconostoc_0	0.163572164
Cellulosimicrobium_0	0.163572164
Coprococcus_2	0.163572164
Brachyspira_1	0.163572164
Dialister_1	0.163572164
Lachnoclostridium_10	0.163572164
Bordetella_1	0.163178488
Staphylococcus_8	0.163178488
Bacillus_13	0.163178488
Pseudomonas_10	0.163178488
Desulfitobacterium_0	0.163178488
Pseudomonas_8	0.163178488
Pseudomonas_9	0.163178488
Pseudomonas_3	0.163178488
Salmonella_12	0.163178488
Rhodopseudomonas_3	0.163178488
Edwardsiella_0	0.163178488
Edwardsiella_2	0.163178488
Pseudomonas_29	0.163178488
Bradyrhizobium_1	0.163178488
Beutenbergia_0	0.163178488
Serratia_2	0.163178488
Citrobacter_5	0.163178488
Salmonella_1	0.163178488
Salmonella_3	0.163178488
Salmonella_2	0.163178488
Salmonella_7	0.163178488
Acidovorax_4	0.163178488
Polaribacter_0	0.163178488
Salmonella_10	0.163178488
Salmonella_13	0.163178488
Escherichia_39	0.163178488
Listeria_13	0.163178488
Bacillus_2	0.163178488
Mycobacterium_2	0.163178488
Thermanaerovibrio_0	0.1601281538
Olsenella_0	0.1601281538
Bifidobacterium_30	0.1601281538
Eubacterium_11	0.1601281538
Corynebacterium_18	0.1601281538
Pediococcus_0	0.1601281538
Peptostreptococcus_2	0.1601281538
Lactobacillus_51	0.1601281538
Eubacterium_22	0.1601281538
Weissella_0	0.1601281538
unclassified_Clostridiales_2	0.1601281538
Bordetella_5	0.1572427255
Cupriavidus_0	0.1572427255
Pseudomonas_19	0.1572427255
Pseudomonas_17	0.1572427255
Pseudomonas_15	0.1572427255
Pseudomonas_13	0.1572427255
Pseudomonas_7	0.1572427255
Pseudomonas_2	0.1572427255
Bacteroides_40	0.1572427255
Ralstonia_3	0.1572427255
Helicobacter_14	0.1572427255
Acinetobacter_2	0.1572427255
Gramella_0	0.1572427255
Pseudomonas_26	0.1572427255
Pseudomonas_22	0.1572427255
Pseudomonas_21	0.1572427255
Xenorhabdus_0	0.1572427255
Stackebrandtia_0	0.1572427255
Serratia_1	0.1572427255
Limnobacter_0	0.1572427255
Salmonella_0	0.1572427255
Parabacteroides_4	0.1572427255
Eikenella_0	0.1572427255
Klebsiella_6	0.1572427255
Zunongwangia_0	0.1572427255
Kineococcus_0	0.1572427255
Lactobacillus_71	0.1572427255
Mycobacterium_0	0.1572427255
Erwinia_3	0.1572427255
Sphingomonas_1	0.1572427255
Flavonifractor_0	0.1568929081
Sutterella_0	0.1568929081
Campylobacter_23	0.1568929081
Selenomonas_2	0.1538461538
Ruminococcus_2	0.1538461538
Scardovia_0	0.1538461538
Dialister_0	0.1538461538
Sulfurihydrogenibium_1	0.1538461538
Bordetella_0	0.1519109051
Lactobacillus_12	0.1519109051
Aliivibrio_0	0.1519109051
Enterococcus_1	0.1519109051
Shewanella_0	0.1519109051
Staphylococcus_40	0.1519109051
Lactobacillus_37	0.1519109051
Lactobacillus_35	0.1519109051
Herminiimonas_0	0.1519109051
Afipia_1	0.1519109051
Rhodopseudomonas_0	0.1519109051
Streptococcus_21	0.1519109051
Actinosynnema_0	0.1519109051
Pseudomonas_30	0.1519109051
Pseudomonas_27	0.1519109051
Citromicrobium_0	0.1519109051
Actinobacillus_1	0.1519109051
Vibrio_0	0.1519109051
Salmonella_5	0.1519109051
Salmonella_4	0.1519109051
Salmonella_6	0.1519109051
Nocardiopsis_0	0.1519109051
Enterococcus_16	0.1519109051
Salmonella_11	0.1519109051
Enterococcus_31	0.1519109051
Eubacterium_32	0.1519109051
Lactobacillus_42	0.1519109051
Kordia_0	0.1519109051
Escherichia_18	0.1519109051
Escherichia_11	0.1519109051
Cronobacter_1	0.1519109051
Cyanothece_0	0.1519109051
Erwinia_2	0.1519109051
Erwinia_4	0.1519109051
Sphingomonas_0	0.1519109051
Anaerococcus_2	0.1509702712
Faecalitalea_0	0.1509702712
Sulfolobus_0	0.1482498633
Bordetella_3	0.1470871014
Paraprevotella_0	0.1470871014
Clostridium_41	0.1470871014
Clostridium_5	0.1470871014
Streptococcus_16	0.1470871014
Lactobacillus_25	0.1470871014
Cellulomonas_0	0.1470871014
Bacteroides_49	0.1470871014
Acinetobacter_6	0.1470871014
Macrococcus_0	0.1470871014
Eubacterium_41	0.1470871014
Roseobacter_0	0.1470871014
Xenorhabdus_1	0.1470871014
Bacteroides_29	0.1470871014
Synechococcus_0	0.1470871014
Bacteroides_17	0.1470871014
Streptomyces_1	0.1470871014
Enterococcus_44	0.1470871014
Clavibacter_0	0.1470871014
Sideroxydans_0	0.1470871014
Streptococcus_5	0.1470871014
Lactobacillus_46	0.1470871014
Lactobacillus_70	0.1470871014
Polaromonas_1	0.1470871014
Oribacterium_2	0.1426954482
Neisseria_5	0.1426954482
Psychrobacter_2	0.1426954482
Staphylococcus_4	0.1426954482
Oligotropha_0	0.1426954482
Lactobacillus_3	0.1426954482
Holdemania_1	0.1426954482
Staphylococcus_58	0.1426954482
Sulfurospirillum_0	0.1426954482
Mannheimia_0	0.1426954482
Staphylococcus_48	0.1426954482
Staphylococcus_41	0.1426954482
Streptococcus_19	0.1426954482
Lachnoclostridium_0	0.1426954482
Lachnoclostridium_6	0.1426954482
Lachnoclostridium_9	0.1426954482
Hungatella_1	0.1426954482
Kocuria_1	0.1426954482
Odoribacter_0	0.1426954482
Streptococcus_33	0.1426954482
Streptococcus_34	0.1426954482
Acinetobacter_9	0.1426954482
Acidipropionibacterium_0	0.1426954482
Streptococcus_43	0.1426954482
Actinobacillus_4	0.1426954482
Acinetobacter_10	0.1426954482
Streptococcus_58	0.1426954482
Clostridium_20	0.1426954482
Renibacterium_0	0.1426954482
Corynebacterium_14	0.1426954482
Bacteroides_4	0.1426954482
Bacteroides_24	0.1426954482
Staphylococcus_42	0.1426954482
Thermobispora_0	0.1426954482
Staphylococcus_19	0.1426954482
Lactobacillus_45	0.1426954482
Weissella_1	0.1426954482
Lactobacillus_74	0.1426954482
Thermomonospora_0	0.1426954482
Neisseria_2	0.1386750491
Neisseria_9	0.1386750491
Staphylococcus_28	0.1386750491
Haemophilus_6	0.1386750491
Thermobifida_0	0.1386750491
Selenomonas_5	0.1386750491
Lactobacillus_28	0.1386750491
Moorella_0	0.1386750491
Thiomonas_0	0.1386750491
Blattabacterium_0	0.1386750491
Bifidobacterium_21	0.1386750491
Actinobacillus_0	0.1386750491
Clostridium_12	0.1386750491
Corynebacterium_6	0.1386750491
Corynebacterium_3	0.1386750491
Bifidobacterium_35	0.1386750491
Leptotrichia_1	0.1386750491
Chlorobaculum_1	0.1386750491
Rhodoferax_0	0.1386750491
Eubacterium_10	0.1386750491
Clostridium_39	0.1386750491
Corynebacterium_13	0.1386750491
Corynebacterium_10	0.1386750491
Enterococcus_24	0.1386750491
Ruminiclostridium_6	0.1386750491
Eubacterium_34	0.1386750491
Lactobacillus_68	0.1386750491
Lactobacillus_63	0.1386750491
Enterococcus_9	0.1349763812
Staphylococcus_52	0.1349763812
Blautia_0	0.1349763812
Veillonella_1	0.1349763812
Histophilus_0	0.1349763812
Streptococcus_37	0.1349763812
Streptococcus_36	0.1349763812
Collinsella_2	0.1349763812
Pasteurella_1	0.1349763812
Actinobacillus_3	0.1349763812
Corynebacterium_8	0.1349763812
Streptococcus_67	0.1349763812
Pelotomaculum_0	0.1349763812
Paraprevotella_1	0.1349763812
Chryseobacterium_0	0.1349763812
Ruminiclostridium_3	0.1349763812
Enterococcus_35	0.1349763812
Rothia_3	0.1349763812
Desulfovibrio_9	0.1349763812
